id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
385,E 55 St & 2 Ave,24,29,40.75797322,-73.96603308,In Service,1,5,E 55 St & 2 Ave,False,2016-01-22 16:32:24
386,Centre St & Worth St,7,43,40.71494807,-74.00234482,In Service,1,36,Centre St & Worth St,False,2016-01-22 16:30:16
387,Centre St & Chambers St,28,39,40.71273266,-74.0046073,In Service,1,10,Centre St & Chambers St,False,2016-01-22 16:30:38
388,W 26 St & 10 Ave,23,35,40.749717753,-74.002950346,In Service,1,10,W 26 St & 10 Ave,False,2016-01-22 16:31:10
389,Broadway & Berry St,26,27,40.71044554,-73.96525063,In Service,1,1,Broadway & Berry St,False,2016-01-22 16:29:12
390,Duffield St & Willoughby St,6,31,40.69221589,-73.9842844,In Service,1,23,Duffield St & Willoughby St,False,2016-01-22 16:31:49
391,Clark St & Henry St,13,31,40.69760127,-73.99344559,In Service,1,17,Clark St & Henry St,False,2016-01-22 16:30:21
392,Jay St & Tech Pl,17,32,40.695065,-73.987167,In Service,1,15,Jay St & Tech Pl,False,2016-01-22 16:29:29
393,E 5 St & Avenue C,28,31,40.72299208,-73.97995466,In Service,1,3,E 5 St & Avenue C,False,2016-01-22 16:30:14
394,E 9 St & Avenue C,24,32,40.72521311,-73.97768752,In Service,1,8,E 9 St & Avenue C,False,2016-01-22 16:30:37
395,Bond St & Schermerhorn St,9,30,40.68807003,-73.98410637,In Service,1,21,Bond St & Schermerhorn St,False,2016-01-22 16:32:47
396,Lefferts Pl & Franklin Ave,22,25,40.680342423,-73.9557689392,In Service,1,3,Lefferts Pl & Franklin Ave,False,2016-01-22 16:29:03
397,Fulton St & Clermont Ave,27,27,40.68415748,-73.96922273,In Service,1,0,Fulton St & Clermont Ave,False,2016-01-22 16:31:10
398,Atlantic Ave & Furman St,18,31,40.69165183,-73.9999786,In Service,1,13,Atlantic Ave & Furman St,False,2016-01-22 16:29:32
399,Lafayette Ave & St James Pl,14,27,40.68851534,-73.9647628,In Service,1,13,Lafayette Ave & St James Pl,False,2016-01-22 16:31:25
400,Pitt St & Stanton St,10,15,40.71926081,-73.98178024,In Service,1,4,Pitt St & Stanton St,False,2016-01-22 16:31:48
401,Allen St & Rivington St,39,43,40.72019576,-73.98997825,In Service,1,3,Allen St & Rivington St,False,2016-01-22 16:30:51
402,Broadway & E 22 St,14,42,40.7403432,-73.98955109,In Service,1,26,Broadway & E 22 St,False,2016-01-22 16:30:44
403,E 2 St & 2 Ave,17,31,40.72502876,-73.99069656,In Service,1,12,E 2 St & 2 Ave,False,2016-01-22 16:30:21
405,Washington St & Gansevoort St,22,40,40.739323,-74.008119,In Service,1,18,Washington St & Gansevoort St,False,2016-01-22 16:32:19
406,Hicks St & Montague St,12,34,40.69512845,-73.99595065,In Service,1,22,Hicks St & Montague St,False,2016-01-22 16:31:57
407,Henry St & Poplar St,32,37,40.700469,-73.991454,In Service,1,5,Henry St & Poplar St,False,2016-01-22 16:30:13
408,Market St & Cherry St,20,23,40.71076228,-73.99400398,In Service,1,3,Market St & Cherry St,False,2016-01-22 16:32:47
409,DeKalb Ave & Skillman St,17,19,40.6906495,-73.95643107,In Service,1,2,DeKalb Ave & Skillman St,False,2016-01-22 16:29:43
410,Suffolk St & Stanton St,32,35,40.72066442,-73.98517977,In Service,1,3,Suffolk St & Stanton St,False,2016-01-22 16:30:49
411,E 6 St & Avenue D,19,23,40.72228087,-73.97668709,In Service,1,3,E 6 St & Avenue D,False,2016-01-22 16:30:15
412,Forsyth St & Canal St,25,29,40.7158155,-73.99422366,In Service,1,4,Forsyth St & Canal St,False,2016-01-22 16:31:43
414,Pearl St & Anchorage Pl,11,24,40.70281858,-73.98765762,In Service,1,13,Pearl St & Anchorage Pl,False,2016-01-22 16:30:02
415,Pearl St & Hanover Square,18,42,40.7047177,-74.00926027,In Service,1,24,Pearl St & Hanover Square,False,2016-01-22 16:31:33
416,Cumberland St & Lafayette Ave,28,31,40.68753406,-73.97265183,In Service,1,3,Cumberland St & Lafayette Ave,False,2016-01-22 16:29:11
417,Barclay St & Church St,5,23,40.71291224,-74.01020234,In Service,1,18,Barclay St & Church St,False,2016-01-22 16:30:43
418,Front St & Gold St,10,23,40.70224,-73.982578,In Service,1,12,Front St & Gold St,False,2016-01-22 16:32:09
419,Carlton Ave & Park Ave,22,23,40.69580705,-73.97355569,In Service,1,1,Carlton Ave & Park Ave,False,2016-01-22 16:29:23
420,Clermont Ave & Lafayette Ave,23,23,40.68764484,-73.96968902,In Service,1,0,Clermont Ave & Lafayette Ave,False,2016-01-22 16:31:28
421,Clermont Ave & Park Ave,9,19,40.69573398,-73.97129668,In Service,1,10,Clermont Ave & Park Ave,False,2016-01-22 16:30:29
422,W 59 St & 10 Ave,49,55,40.770513,-73.988038,In Service,1,5,W 59 St & 10 Ave,False,2016-01-22 16:29:33
423,W 54 St & 9 Ave,3,3,40.76584941,-73.98690506,Not In Service,3,0,W 54 St & 9 Ave,False,2015-12-14 11:04:17
426,West St & Chambers St,11,31,40.71754834,-74.01322069,In Service,1,19,West St & Chambers St,False,2016-01-22 16:30:18
